FID,Street,City,State,County,Zip Code,Assessed_Hurricane,Times_Flooded,In_Flood_Zone,Flood_Zone,GlobalID,Flood_Hazard_Zone,x,y,zone_type,In Zone,Not in Zone
1105,Pee Dee Hwy,Conway,SC,Horry County,29527,Florence,1,No,X,4e14138a-7a50-4778-970b-206bf6cdb1f6,No,-79.188374,33.76104701,,,
1106,River Cliff Dr,Myrtle Beach,SC,Horry County,29588,Florence,1,Yes,AE,71aa86c5-6b4a-4a35-bfb9-135283f8809b,Yes,-78.97717702,33.69906297,,,
1107,River Cliff Dr,Myrtle Beach,SC,Horry County,29588,Florence,1,Yes,AE,e9fb95a4-76de-40b4-b4d1-bb18f56770e9,Yes,-78.97694301,33.699117,,,
1108,River Cliff Dr,Myrtle Beach,SC,Horry County,29588,Florence,1,Yes,AE,b0dd123c-0f12-425b-a485-a14a19e4d149,Yes,-78.97649403,33.69928404,,,
1109, ,Myrtle Beach,SC,Florence County,29588,Florence,1,No,X,a8906294-17a4-4265-a95e-16ab19e6c933,No,-79.02427003,33.67113701,,,
1110,River Bend Rd,Myrtle Beach,SC,Horry County,29588,Florence,1,Yes,AE,96db9d77-4370-4a72-b988-ad60016fa39a,Yes,-78.97620603,33.69891902,,,
1111,Riverbend Rd,Loris,SC,Horry County,29569,Florence,1,No,X,7379e1aa-3d47-4c23-8382-84c79e5eaf65,No,-78.86573903,34.10806997,,,
1112,Riverbend Rd,Loris,SC,Horry County,29569,Florence,1,No,X,42ed7c3f-d1b9-456e-aa29-5627152ec2e6,No,-78.86573903,34.10806997,,,
1113,River Bend Rd,Myrtle Beach,SC,Horry County,29588,Florence,1,Yes,AE,7d8afad8-d5f8-4b02-9fef-ce4ecccf8b74,Yes,-78.97601702,33.69832898,,,
1114,River Bend Rd,Myrtle Beach,SC,Horry County,29588,Florence,1,Yes,AE,fe12e9d5-4ec7-4c82-9299-abc5169c05a2,Yes,-78.97595297,33.69813002,,,
1115,Riverbend Rd,Loris,SC,Horry County,29569,Florence,1,No,X,95d14f38-b811-40dc-ba00-b43b13fdf92d,No,-78.86573903,34.10806997,,,
1116,Islander Dr,Myrtle Beach,SC,Horry County,29588,Florence,1,Yes,AE,571fe746-d154-4244-9a11-80c5cf426a17,Yes,-78.97704398,33.69841403,,,
1117,Reef Rd,Myrtle Beach,SC,Horry County,29588,Florence,1,Yes,AE,fdd4c18a-f57d-4f6d-bcd2-36eefb6b92ba,Yes,-78.97734599,33.69861701,,,
1118,River Cliff Dr,Myrtle Beach,SC,Horry County,29588,Florence,1,Yes,AE,093d86b9-62ee-4eff-b67b-d4a6f3f2a730,Yes,-78.97711198,33.69867097,,,
1119,Gaither Ct,Myrtle Beach,SC,Horry County,29588,Florence,1,No,X,17b2014c-ccfb-461a-a268-33a51d324991,No,-78.99473199,33.64328201,,,
1120,River Bend Rd,Myrtle Beach,SC,Horry County,29588,Florence,1,Yes,AE,f30a56eb-d3fe-41d6-aa70-7a4056b3580a,Yes,-78.97662797,33.69877598,,,
1121,US Hwy 17,Myrtle Beach,SC,Horry County,29577,Florence,1,No,X,a28d0e69-b22b-4417-ac07-5656293dc4b7,Yes,-78.94372798,33.69508801,,,
1122,Reef Rd,Myrtle Beach,SC,Horry County,29588,Florence,1,Yes,AE,38e46ea4-ea39-49a7-b24c-dba0e7889086,Yes,-78.97775499,33.69845102,,,
1123,Crooked Pine Dr,Myrtle Beach,SC,Horry County,29575,Florence,1,No,X,c1c84842-2449-451b-8e56-bf53c601a950,No,-78.97512401,33.62808996,,,
1124,Reef Rd,Myrtle Beach,SC,Horry County,29588,Florence,1,Yes,AE,dcd19338-73e6-43bf-b231-9c39b7a20d4d,Yes,-78.97729497,33.69706501,,,
1125,Reef Rd,Myrtle Beach,SC,Horry County,29588,Florence,1,Yes,AE,3a3fe5f3-c9e3-4686-8941-41f697329a3b,Yes,-78.97782902,33.69921999,,,
1126,National Dr,Myrtle Beach,SC,Horry County,29579,Florence,1,No,X,fa8dc264-efd5-4afd-add7-84f6ddd95fe3,No,-78.96798896,33.785433,,,
1127,Smith Blvd,Myrtle Beach,SC,Horry County,29588,Florence,1,Yes,AE,267cc7a3-7179-4e82-9ef1-33e28d3368bb,Yes,-78.97984196,33.69922597,,,
1128,Smith Blvd,Myrtle Beach,SC,Horry County,29588,Florence,1,Yes,AE,0b6207e8-6b01-4125-9148-ed2087a854e2,Yes,-78.97949404,33.69932499,,,
1129,Smith Blvd,Myrtle Beach,SC,Horry County,29588,Florence,1,Yes,AE,d3a09e71-b74c-43ee-8c2e-f7255439729a,Yes,-78.97909798,33.69947902,,,
1130,Smith Blvd,Myrtle Beach,SC,Horry County,29588,Florence,1,Yes,AE,4a599205-6b59-4ead-9f25-66f78ea3baaf,Yes,-78.97887097,33.69954098,,,
1131,Smith Blvd,Myrtle Beach,SC,Horry County,29588,Florence,1,Yes,AE,a6d3b509-1875-4a61-bae2-7912d1fa1e55,Yes,-78.978634,33.69956803,,,
1132,Smith Blvd,Myrtle Beach,SC,Horry County,29588,"Joaquin, Florence",2,Yes,AE,7bd0dc99-325b-4b2e-93a6-e894c9f9b369,Yes,-78.97843897,33.69958903,,,
1133,Smith Blvd,Myrtle Beach,SC,Horry County,29588,Florence,1,Yes,AE,4759c581-d4e5-4f01-bdbb-56839d905034,Yes,-78.97831599,33.69961101,,,
1134,Smith Blvd,Myrtle Beach,SC,Horry County,29588,Florence,1,Yes,AE,352c5429-eaea-4115-95b4-afc58f05a1ff,Yes,-78.97818098,33.69946198,,,
1135,Smith Blvd,Myrtle Beach,SC,Horry County,29588,Joaquin,1,Yes,AE,8d71f351-69cf-43e0-9efb-47abd6e19b8d,Yes,-78.97708997,33.69984,,,
1136,Smith Blvd,Myrtle Beach,SC,Horry County,29588,Florence,1,Yes,AE,4c769f48-11d4-4453-9543-4fec3101ab60,Yes,-78.97999297,33.69831298,,,
1137,Smith Blvd,Myrtle Beach,SC,Horry County,29588,Florence,1,Yes,AE,410dc852-0e24-4da0-9f64-b4d3aeb4b74a,Yes,-78.98013697,33.69906102,,,
1138,Smith Blvd,Myrtle Beach,SC,Horry County,29588,Florence,1,Yes,AE,6da3aab0-7fd3-4603-bf8e-0f4617fb6a7b,Yes,-78.98042101,33.698925,,,
1139,Smith Blvd,Myrtle Beach,SC,Horry County,29588,Florence,1,Yes,AE,de0b50f1-137a-4c9d-bc4e-10b8d32cb49a,Yes,-78.98070102,33.69878898,,,
1140,Smith Blvd,Myrtle Beach,SC,Horry County,29588,Florence,1,Yes,AE,b4c20723-2984-41c5-bf70-52d30893d221,Yes,-78.98125896,33.698507,,,
1141,Smith Blvd,Myrtle Beach,SC,Horry County,29588,Florence,1,Yes,AE,a1049679-2d33-4ab9-8330-31cf8a42d1d6,Yes,-78.98153798,33.69836298,,,
1142,Pauley Swamp Rd,Conway,SC,Horry County,29527,"Joaquin, Florence",2,No,X,9b9f9455-ab61-446f-9b37-284ea3c9d063,No,-79.12425998,33.78079402,,,
1143,Charlotte Rd,Myrtle Beach,SC,Horry County,29577,"Matthew, Florence",2,No,X,cc6cf953-1865-4384-bff4-732bb38c8336,Yes,-78.89792998,33.689446,,,
1144,Pee Dee Rd S,Galivants Ferry,SC,Horry County,29544,"Matthew, Florence",2,No,X,4c274f0f-90e2-4cec-9022-04814a94971b,No,-79.25185803,33.982294,,,
1145,Dongola Hwy,Conway,SC,Horry County,29527,"Matthew, Florence",2,No,X,d933bcc0-4539-4192-909b-5b5efc868987,No,-79.16340802,33.77381999,,,
1146,Betsy Ln,Galivants Ferry,SC,Horry County,29544,Florence,1,No,X,42ec4dc4-d46c-4ef0-a567-e4391970b017,No,-79.19467199,33.93507602,,,
1147,US Hwy 501,Conway,SC,Horry County,29526,"Matthew, Florence",2,No,X,2d4b4a48-d309-4690-8a94-010e968fd6fd,No,-79.13003498,33.89771899,,,
1148,Cates Bay Hwy,Conway,SC,Horry County,29527,"Matthew, Florence",2,No,X,7e1746a9-2021-4e9b-a8fb-d01a18813ff8,No,-79.19432102,33.785372,,,
1149,Hwy 814,Myrtle Beach,SC,Horry County,29588,"Matthew, Florence",2,Yes,AE,0e657de7-72d1-4a5b-8340-edd47b09e205,No,-79.03338299,33.72554902,,,
1150,Thompkins Rd,Myrtle Beach,SC,Horry County,29588,"Matthew, Florence",2,Yes,AE,1470809d-d753-47c6-9401-6826bb5cb8d9,No,-79.03466102,33.72004298,,,
1151,Hwy 65,Conway,SC,Horry County,29526,Matthew,1,No,X,1650c060-c34e-43cc-8f4f-875eec3b3a0d,No,-78.98596703,33.92771603,,,
1152,Horseshoe Cir,Conway,SC,Horry County,29527,Florence,1,Yes,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,b2b49966-42bb-4fb9-95be-a4e9176b73ad,No,-79.11490402,33.70147401,,,
1153,Little Lamb Rd,Conway,SC,Horry County,29527,Matthew,1,Yes,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,38bcf5f7-0897-439d-ac3c-e578906793d6,No,-79.12194502,33.70359704,,,
1154,Pee Dee Hwy,Conway,SC,Horry County,29527,Florence,1,Yes,AE,7a6eb901-2aa0-4e1a-9bbe-a9ed151c7d85,No,-79.16975399,33.72334203,,,
1155,Lucas Bay Rd,Conway,SC,Horry County,29527,Florence,1,No,X,cd9d6ff3-2635-4d77-be77-ecee1efe8f05,No,-79.16841199,33.715356,,,
1156,Pee Dee Hwy,Conway,SC,Horry County,29527,Florence,1,Yes,AE,101ac807-7db4-4365-9438-83fbaccf8dbf,No,-79.12635,33.68774203,,,
1157,Bucksport Heights Ct,Conway,SC,Horry County,29527,Florence,1,Yes,AE,aff631d3-1233-4de9-a303-7faa0d4d4bfa,Yes,-79.12379797,33.69299302,,,
1158,Bucksport Heights Ct,Conway,SC,Horry County,29527,Florence,1,Yes,AE,bd707274-227f-4d47-abb1-288f8891937d,Yes,-79.123811,33.69268299,,,
