Number,Street,City,State,County,Zip,Country,Latitude,Longitude,PIN,Assessed hurricanes (three),Number of assessed hurricanes
3559,Steamer Trace Rd,Conway,SC,Horry County,29527,US,33.806694,-79.066981,38102020002,Florence,1
3565,Steamer Trace Rd,Conway,SC,Horry County,29527,US,33.804467,-79.067945,38102020003,Florence,1
3597,Steamer Trace Rd,Conway,SC,Horry County,29527,US,33.803264,-79.067089,38102030002,"Matthew, Florence",2
3593,Steamer Trace Rd,Conway,SC,Horry County,29527,US,33.803745,-79.067402,38102030004,Florence,1
3585,Steamer Trace Rd,Conway,SC,Horry County,29527,US,33.804316,-79.067473,38102030005,Florence,1
3583,Steamer Trace Rd,Conway,SC,Horry County,29527,US,33.80457,-79.067411,38102030006,Florence,1
3579,Steamer Trace Rd,Conway,SC,Horry County,29527,US,33.804834,-79.067285,38102030007,Florence,1
3577,Steamer Trace Rd,Conway,SC,Horry County,29527,US,33.805187,-79.067255,38102030008,Florence,1
3571,Steamer Trace Rd,Conway,SC,Horry County,29527,US,33.805503,-79.067123,38102030009,Florence,1
1610,4th Ave,Conway,SC,Horry County,29526,US,33.831481,-79.057878,38102040001,"Matthew, Florence",2
3586,Steamer Trace Rd,Conway,SC,Horry County,29527,US,33.804032,-79.068169,38102040002,Florence,1
3582,Steamer Trace Rd,Conway,SC,Horry County,29527,US,33.804336,-79.068023,38102040003,"Matthew, Florence",2
3578,Steamer Trace Rd,Conway,SC,Horry County,29527,US,33.804915,-79.06809,38102040005,Florence,1
3574,Steamer Trace Rd,Conway,SC,Horry County,29527,US,33.805511,-79.068273,38102040007,Florence,1
366,Pitch Landing Rd,Conway,SC,Horry County,29527,US,33.807283,-79.062254,38103010002,Florence,1
1106,Waccamaw Dr,Conway,SC,Horry County,29526,US,33.808692,-79.052189,38104010002,"Matthew, Florence",2
1312,Colony Rd,Conway,SC,Horry County,29526,US,33.850872,-79.061828,38104010003,Florence,1
3485,Sidewheeler Rd,Conway,SC,Horry County,29527,US,33.807761,-79.054117,38104010004,Florence,1
1096,Waccamaw Dr,Conway,SC,Horry County,29526,US,33.80903,-79.050525,38104020002,Florence,1
4550,Adrian Hwy,Conway,SC,Horry County,29526,US,33.946466,-79.018458,38104020004,Florence,1
5030,Pitch Landing Dr,Conway,SC,Horry County,29527,US,33.799518,-79.055591,38105010003,"Matthew, Florence",2
3952,Long Ave Ext,Conway,SC,Horry County,29526,US,33.893895,-79.01187,38105010004,"Matthew, Florence",2
1800,Winburn St,Conway,SC,Horry County,29527,US,33.729651,-79.098517,38105010007,"Matthew, Florence",2
4102,Joyner Swamp Rd,Galivants Ferry,SC,Horry County,29544,US,34.030591,-79.116356,38105010009,Florence,1
4099,Hwy 813,Conway,SC,Horry County,29526,US,33.89245,-79.018055,38105010010,Florence,1
926,Cox Ferry Cir,Conway,SC,Horry County,29526,US,33.796165,-79.0479,38105030001,Florence,1
905,Church St,Conway,SC,Horry County,29527,US,33.838565,-79.06035,38105040001,Florence,1
2800,Minnick Rd,Aynor,SC,Horry County,29511,US,33.998599,-79.117117,38105040002,Florence,1
5093,Pitch Landing Dr,Conway,SC,Horry County,29527,US,33.79817,-79.054428,38105040005,Florence,1
5081,Pitch Landing Dr,Conway,SC,Horry County,29527,US,33.798251,-79.053753,38105040006,Florence,1
5101,Pitch Landing Dr,Conway,SC,Horry County,29527,US,33.797737,-79.054293,38105040008,Florence,1
2071,Lexus Ln,Conway,SC,Horry County,29526,US,33.871417,-79.089379,38105040009,Joaquin,1
945,Knotty Branch Rd,Conway,SC,Horry County,29527,US,33.903292,-79.174945,38105040011,Florence,1
7242,Hwy 134,Conway,SC,Horry County,29527,US,33.832871,-79.145826,38105040012,Florence,1
